"","level","0","1","p","test"
"n","","  7196","  2874","",""
"age (mean (SD))",""," 54.98 (6.00)"," 57.74 (5.48)","<0.001",""
"sex (%)","female","  3957 (55.0) ","  1478 (51.4) "," 0.001",""
"","male","  3239 (45.0) ","  1396 (48.6) ","",""
"bmi (mean (SD))",""," 27.59 (4.50)"," 30.00 (5.21)","<0.001",""
"waist (mean (SD))",""," 95.38 (13.06)","102.19 (13.31)","<0.001",""
"SYSBP (mean (SD))","","129.68 (16.67)","135.86 (16.76)","<0.001",""
"DIABP (mean (SD))",""," 83.54 (10.28)"," 86.18 (10.16)","<0.001",""
"current.smoking (mean (SD))","","  0.84 (0.37)","  0.85 (0.36)"," 0.055",""
"alcohol (mean (SD))","","  1.41 (1.53)","  1.42 (1.57)"," 0.795",""
"education (%)","other","  4058 (56.4) ","  1817 (63.2) ","<0.001",""
"","high","  3138 (43.6) ","  1057 (36.8) ","",""
"income (%)","high","  1929 (26.8) ","   745 (25.9) "," 0.377",""
"","low or normal","  5267 (73.2) ","  2129 (74.1) ","",""
